6104,"AGR CAMARON",1500.00,"","AGR CON COBRO"
6106,"AGRPEPPERONI",1500.00,"","AGR CON COBRO"
1605,"AGQ  CAMARON",0.00,"","AGR QUESADILLAS"
1607,"AGQ  MECHADA",0.00,"","AGR QUESADILLAS"
1609,"AGQ  SALAME",0.00,"","AGR QUESADILLAS"
1611,"AGQ  JAMON",0.00,"","AGR QUESADILLAS"
1613,"AGQ  PIMENTON",0.00,"","AGR QUESADILLAS"
1615,"AGQ  CEBOLLA",0.00,"","AGR QUESADILLAS"
1617,"AGQ  CHAMP",0.00,"","AGR QUESADILLAS"
1619,"AGQ  TOMATE",0.00,"","AGR QUESADILLAS"
1621,"AGQ  ACEITUNA",0.00,"","AGR QUESADILLAS"
1623,"AGQ  CHOCLO",0.00,"","AGR QUESADILLAS"
116,"LT DAIQUIRI SABORES",11000.00,"","TI KI COCKTAIL"
114,"1/2 LT CAIPIROSKA",6000.00,"","TI KI COCKTAIL"
112,"1/2 LT CAIPIRINHA",6000.00,"","TI KI COCKTAIL"
110,"1/2 LT PRIMAVERA CHEY",6000.00,"","TI KI COCKTAIL"
108,"1/2 LT HAWAI BLUE",6000.00,"","TI KI COCKTAIL"
106,"1/2 LT SEXO EN LA PLA",6000.00,"","TI KI COCKTAIL"
2102,"JUGO MARACUYA",3000.00,"","JUGOS"
6102,"AGR POLLO",1500.00,"","AGR CON COBRO"
6100,"AGR CARNE",1500.00,"","AGR CON COBRO"
1801,"PANQUEQUE CEL",3000.00,"","POSTRES"
1803,"COPA HELADO",3000.00,"","POSTRES"
1901,"TE",1000.00,"","CAFETERIA"
1903,"CAF� SOBRE",1500.00,"","CAFETERIA"
104,"1/2 LT SABORES COLADA",6000.00,"","TI KI COCKTAIL"
102,"1/2 LT PINA COLADA",6000.00,"","TI KI COCKTAIL"
100,"1/2 LT DAIQUIRI SABOS",6000.00,"","TI KI COCKTAIL"
189,"LT MOJITO APPLE",11000.00,"","MOJITOS DELIVERY"
187,"LT MOJITO COCO",11000.00,"","MOJITOS DELIVERY"
185,"LT MOJITO FRAMBUESA",11000.00,"","MOJITOS DELIVERY"
183,"LT MOJITO MARACUYA",11000.00,"","MOJITOS DELIVERY"
181,"LT MOJITO MANGO",11000.00,"","MOJITOS DELIVERY"
2013,"PEPSI",2500.00,"","BEBIDAS"
2011,"BILZ",2500.00,"","BEBIDAS"
2009,"KEM PINA",2500.00,"","BEBIDAS"
2007,"FANTA",2500.00,"","BEBIDAS"
2005,"SPRITE",2500.00,"","BEBIDAS"
2003,"COCA ZERO",2500.00,"","BEBIDAS"
2001,"COCA COLA",2500.00,"","BEBIDAS"
2015,"PEPSI ZERO",2500.00,"","BEBIDAS"
2017,"GINGER ALE",2500.00,"","BEBIDAS"
2019,"NORDIC TONIC",2500.00,"","BEBIDAS"
2021,"MINERAL C/G",2500.00,"","BEBIDAS"
2023,"MINERAL S/G",2500.00,"","BEBIDAS"
2101,"JUGO FRUTILLA",3000.00,"","JUGOS"
2103,"JUGO MANGO",3000.00,"","JUGOS"
2105,"JUGO PINA",3000.00,"","JUGOS"
2107,"LIMONADA",3000.00,"","JUGOS"
2109,"LIMONADA MENTA",3000.00,"","JUGOS"
2111,"LIMONADA JENGIBRE",3000.00,"","JUGOS"
2113,"LIMONADA MENTA/JENGIE",3000.00,"","JUGOS"
2301,"REDBULL",4000.00,"","ENERGETICAS"
2303,"REDBULL FREE",4000.00,"","ENERGETICAS"
2305,"REDBULL YELLOW",4000.00,"","ENERGETICAS"
2307,"REDBULL SUMMER",4000.00,"","ENERGETICAS"
2413,"CUSQUENA",3500.00,"","CERVEZAS"
2411,"KUNSTMAN S/H",5500.00,"","CERVEZAS"
2409,"KUNSTMAN MIEL",5500.00,"","CERVEZAS"
2407,"KUNSTMAN TOROBAYO",5500.00,"","CERVEZAS"
2405,"HEINEKEN",3500.00,"","CERVEZAS"
2403,"BALDE CORONA",15000.00,"","CERVEZAS"
4209,"BACARDI MANZANA",7000.00,"VINOS/ESP","RON"
2505,"SCHOP KUNSTMAN 500CC",8990.00,"","SCHOP"
2503,"SCHOP HEINEKEN 500CC",7990.00,"","SCHOP"
2501,"SCHOP CRISTAL 500CC",6000.00,"","SCHOP"
4114,"GIN BLUEMENT",7000.00,"VINOS/ESP","GIN"
2605,"PITCHER KUNSTMAN",20000.00,"","PITCHER"
2603,"PITCHER HEINEKEN",17000.00,"","PITCHER"
2601,"PITCHER CRISTAL",15000.00,"","PITCHER"
2701,"C/S QUEULAT",12000.00,"","C/S"
2703,"C/SVENTISQUERO",12000.00,"","C/S"
2705,"C/S CASILLERO",14000.00,"","C/S"
2801,"CAR VERAMONTE RVA",12000.00,"","CARMENERE"
2803,"CAR VERAMONTE GR RVA",17000.00,"","CARMENERE"
2805,"CAR CASILLERO",14000.00,"","CARMENERE"
2807,"CAR CASTILLA GR RVA",17000.00,"","CARMENERE"
2901,"MER VENTISQUERO",12000.00,"","MERLOT"
3207,"RHIN",8000.00,"","OTROS VINOS"
3205,"PINOT",12000.00,"","OTROS VINOS"
3203,"CORTON",9000.00,"","OTROS VINOS"
3005,"S/B CASILLERO",12000.00,"","S/B"
3101,"SYR CASTILLA GR RVA",17000.00,"","SYRAH"
3201,"LATE HARVEST",12000.00,"","OTROS VINOS"
3301,"BARON DEMI SEC",15000.00,"","ESPUMANTES"
3303,"BARON BRUT",15000.00,"","ESPUMANTES"
3305,"BARON ROSE",15000.00,"","ESPUMANTES"
3307,"BARON MOSCATO",15000.00,"","ESPUMANTES"
3309,"CHANDON BRUT",25990.00,"","ESPUMANTES"
3311,"RICCADONNA BRUT",23990.00,"","ESPUMANTES"
3313,"RICCADONNA RUBY",34990.00,"","ESPUMANTES"
3315,"RICCADONNA PROSECCO",34990.00,"","ESPUMANTES"
3317,"RICCADONNA MOSCATO",34990.00,"","ESPUMANTES"
3319,"RICCADONNA ASTI",34990.00,"","ESPUMANTES"
3401,"COPA C/S",5000.00,"","COPAS"
3403,"COPA CARMENERE",5000.00,"","COPAS"
3405,"COPA MERLOT",5000.00,"","COPAS"
3407,"COPA S/B",5000.00,"","COPAS"
3409,"COPA SYRAH",5000.00,"","COPAS"
3411,"COPA ESPUMANTE",4000.00,"","COPAS"
3533,"APEROL SPRITZ",8000.00,"VINOS/ESP","CLASICOS"
3531,"TEQUILA SUNRISE",6500.00,"VINOS/ESP","CLASICOS"
3529,"TEQUILA BLUE",6500.00,"VINOS/ESP","CLASICOS"
3527,"TEQUILA MARGARITA",6500.00,"VINOS/ESP","CLASICOS"
3523,"MANHATTAN",5000.00,"VINOS/ESP","CLASICOS"
3521,"DIRTY MARTINI",5000.00,"VINOS/ESP","CLASICOS"
3519,"MARTINI DRY",5000.00,"VINOS/ESP","CLASICOS"
3501,"COSMOPOLITAN",6000.00,"VINOS/ESP","CLASICOS"
3503,"CLAVO OXIDADO",8000.00,"VINOS/ESP","CLASICOS"
3505,"JACK OXIDADO",14000.00,"VINOS/ESP","CLASICOS"
3507,"OLD FASHIONED",5000.00,"VINOS/ESP","CLASICOS"
3509,"NEGRONI",6000.00,"VINOS/ESP","CLASICOS"
3511,"RUSO NEGRO",6500.00,"VINOS/ESP","CLASICOS"
3513,"RUSO BLANCO",7000.00,"VINOS/ESP","CLASICOS"
4016,"STOLICHNAYA LIMON",7000.00,"VINOS/ESP","VODKA"
3515,"TOM COLLINS",6000.00,"VINOS/ESP","CLASICOS"
3517,"JOHN COLLINS",6500.00,"VINOS/ESP","CLASICOS"
3535,"RAMAZZOTTI SPRITZ",8000.00,"VINOS/ESP","CLASICOS"
4015,"STOLICHNAYA NARANJA",7000.00,"VINOS/ESP","VODKA"
4013,"SKY SABORES",5000.00,"VINOS/ESP","VODKA"
3926,"PISCO 1733",5000.00,"VINOS/ESP","PISCOS"
3615,"CAIPIROSKA",6500.00,"VINOS/ESP","COCKTAILS"
3613,"CAIPIRINHA",6500.00,"VINOS/ESP","COCKTAILS"
3611,"PRIMAVERA CHERRY",7000.00,"VINOS/ESP","COCKTAILS"
3609,"HAWAI BLUE",7500.00,"VINOS/ESP","COCKTAILS"
3607,"SEXO EN LA PLAYA",6500.00,"VINOS/ESP","COCKTAILS"
3605,"FRUTILLA COLADA",7000.00,"VINOS/ESP","COCKTAILS"
3603,"PINA COLADA",7000.00,"VINOS/ESP","COCKTAILS"
3601,"DAIQUIRI FRUTILLAS",6000.00,"VINOS/ESP","COCKTAILS"
3701,"MOJITO CLASICO",6500.00,"VINOS/ESP","MOJITOS"
3703,"MOJITO BERRIE",6500.00,"VINOS/ESP","MOJITOS"
3705,"MOJITO BLUEBERRIE",6500.00,"VINOS/ESP","MOJITOS"
